anio,periodo,etiqueta_original,poblacion_15_mas,pea,tasa_participacion,ocupados,desocupados,tasa_desempleo,no_economicamente_activa
2001,2001-08,2001,2010166.0,1216320.0,60.508435621734726,1045717.0,170603.0,14.026160878716126,793846.0
2002,2002-08,2002,2054290.0,1284989.0,62.551489809131134,1111661.0,173328.0,13.48867577854752,769301.0
2003,2003-08,2003,2121904.0,1333000.0,62.82093817627942,1159155.0,173845.0,13.041635408852212,788904.0
2004,2004-08,2004,2169184.0,1374148.0,63.34861404104032,1212705.0,161443.0,11.74858894384011,795036.0
2005,2005-08,2005,2216195.0,1407458.0,63.50785919109103,1269795.0,137663.0,9.780966821034802,808737.0
2006,2006-08,2006,2262998.0,1417736.0,62.64857503188248,1294937.0,122799.0,8.6616267062415,845262.0
2007,2007-08,2007,2309763.0,1449318.0,62.74747668916682,1356973.0,92345.0,6.371617547011767,860445.0
2008,2008-08,2008,2356900.0,1505930.0,63.89452246595104,1421921.0,84009.0,5.5785461475633,850970.0
2009,2009-08,2009,2403651.0,1541904.0,64.14841422486043,1440801.0,101103.0,6.5570230053232885,861747.0
2010,2010-08,2010,2450374.0,1557047.0,63.54323870560168,1455592.0,101455.0,6.5158598295362955,893327.0
2011,2011-08,2011 (R),2603390.0,1610244.0,61.85181628568904,1538082.0,72162.0,4.481432627601779,993146.0
2012,2012-08,2012 (R),2659822.0,1685439.0,63.36660874299107,1617171.0,68268.0,4.050458070567965,974383.0
2013,2013-08,2013,2719844.0,1743821.0,64.11474334557423,1672352.0,71469.0,4.098413770679445,976023.0
2014,2014-08,2014,2782076.0,1781266.0,64.02650394884971,1695361.0,85905.0,4.822693522472219,1000810.0
2015,2015-08,2015,2846612.0,1826111.0,64.15033028737321,1733851.0,92260.0,5.052266811820312,1020501.0
2016,2016-08,2016,2909973.0,1873655.0,64.38736716801152,1770711.0,102944.0,5.494287902522076,1036318.0
2017,2017-08,2017,2973286.0,1902477.0,63.985671072342186,1785849.0,116628.0,6.130323783152175,1070809.0
2018,2018-08,2018,3038407.0,1986940.0,65.39413580866554,1868602.0,118338.0,5.955791317301982,1051467.0
2019,2019-08,2019,3105765.0,2066753.0,66.54569808082711,1920642.0,146111.0,7.069591770279274,1039012.0
2021,2021-10,2021 (octubre),3258241.0,1966467.0,60.353638665770895,1744387.0,222080.0,11.2933499519697,1291774.0
2022,2022-04,2022 (abril),3291858.0,2049616.0,62.2631960430857,1846363.0,203253.0,9.916638043418864,1242242.0
2023,2023-08,2023,3354784.0,2094241.0,62.425509362152674,1938616.0,155625.0,7.43109317409028,1260543.0
2024,2024-10,2024 (octubre),3358667.0,2126771.0,63.321877399575484,1924162.0,202609.0,9.526601594623962,1231896.0
