codigo_indicador,nombre_indicador,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
FP.CPI.TOTL.ZG,"Inflación, precios al consumidor (% anual)",2.62652699929151,0.137492058461504,0.739734025300033,0.875585918759878,0.761578359399944,-0.355083821021245,-1.5502754080376,1.63070337301898,2.85965128834711,1.48641355277038,0.693225551004538
NE.EXP.GNFS.ZS,Exportaciones de bienes y servicios (% del PIB),54.8890820604972,47.3866199170958,41.7407554629987,41.4710106747803,42.3471044405144,40.2141744857332,36.2690881640488,41.6067040108244,48.0265978333415,45.6292440103821,44.3578422197701
NE.IMP.GNFS.ZS,Importaciones de bienes y servicios (% del PIB),60.0815229068736,49.1925374722503,42.6552163856241,42.5765265311328,43.7838570864857,40.2144760849895,32.4313353159158,38.5267595948813,45.4486709835028,42.719666518479,39.3159365600603
NY.GDP.MKTP.CD,PIB (US$ corrientes),51427104881.9655,55767806073.1781,59760858717.8359,64327688826.3137,67316471181.2488,69778991192.5571,57059846521.5327,67396392506.2378,76479304470.9375,83812155244.3352,86523959131.7472
NY.GDP.MKTP.KD.ZG,Crecimiento del PIB (% anual),4.62581384604574,5.26691726402875,4.57196696307969,5.74405946988693,3.9181980847881,3.10306793272473,-17.8212299459324,16.4671248604202,11.0385475261766,7.16632946099945,2.74788545546916
NY.GDP.PCAP.CD,PIB per cápita (US$ corrientes),13213.1989591137,14082.6548434996,14832.3611652459,15694.6297518495,16151.3273433486,16477.9066268111,13290.5608397749,15509.8069124139,17378.6070017557,18797.1933994045,19161.2188501596
SE.XPD.TOTL.GD.ZS,Gasto público en educación (% del PIB),3.08107995986939,3.26552009582519,3.32278990745544,3.37834000587463,3.4524199962616,3.28122011579173,4.30487012863159,3.71198010444641,3.37781000137329,2.47225999832153,
SI.POV.GINI,Índice de Gini,50.5,50.8,50.4,49.9,49.2,49.8,,50.9,,48.9,49.7
SL.TLF.TOTL.IN,Fuerza laboral total,1836682.0,1874167.0,1929484.0,1960954.0,2053703.0,2125378.0,2098423.0,2018222.0,2169258.0,2170438.0,2205785.0
SL.UEM.1524.ZS,Desempleo juvenil (% de la fuerza laboral de 15-24 años),11.523,11.675,12.295,14.817,14.1,17.128,33.033,22.338,19.186,16.765,16.75
SL.UEM.TOTL.ZS,Desempleo total (% de la fuerza laboral),4.391,4.335,4.717,5.338,5.161,6.256,14.663,10.177,8.086,6.544,6.518
SP.POP.TOTL,Población total,3892101.0,3960035.0,4029086.0,4098707.0,4167860.0,4234700.0,4293261.0,4345405.0,4400773.0,4458759.0,4515577.0
SP.URB.TOTL.IN.ZS,Población urbana (% del total),65.4531164770096,65.5287232947981,65.5971555296656,65.6577712475758,65.7099285144924,65.752985396379,65.7862999591993,65.8092302689169,65.8211343914956,65.8601271176084,65.9958447685488
