modelo,periodo,mae,rmse,r2
Ridge,2011-08,1.5683876106742054,2.066408121594643,0.36005873254450005
Ridge,2012-08,1.1344996141109456,1.3871147070410264,0.6269174279225902
Ridge,2013-08,1.0160175729514043,1.4370165256272074,0.6699252629143866
Ridge,2014-03,1.261881372852136,1.715847642869837,0.5803518634700973
Ridge,2014-08,1.4787310543370669,2.0899583733070806,0.5263730421829425
Ridge,2015-03,1.0408436335030142,1.3514706922423192,0.7785268832765547
Ridge,2015-08,1.155632545996647,1.5571637282517767,0.7246971833346398
Ridge,2016-03,1.0820040953757162,1.4282219773492126,0.748129802843279
Ridge,2016-08,1.1882173340525657,1.6660157768000297,0.67323095550575
Ridge,2017-03,0.7567162807686628,0.9272395725617467,0.8816140324174693
Ridge,2017-08,1.159494289145521,1.6053378691203797,0.7330762679753682
Ridge,2018-08,1.2391763463393242,1.6097458483638403,0.7030786684324977
Ridge,2019-08,1.3717821053187995,1.75599608108955,0.78872701134341
Ridge,2021-10,2.850727033376427,4.274310169121017,0.2827679543594199
Ridge,2022-04,1.714864877092373,2.189576698084226,0.742669676230667
Ridge,2023-08,1.9774042910640688,2.5515616558610867,0.5872187108544795
Ridge,2024-10,2.749823322137913,3.3427486260304966,0.23131766025143508
Lasso,2011-08,1.6964476958067451,2.172903329293893,0.29239852804808153
Lasso,2012-08,1.1033524855183798,1.3287355492200188,0.6576602587692058
Lasso,2013-08,0.9739138350482488,1.4154995768222545,0.6797359077163793
Lasso,2014-03,1.327452676444347,1.7955725903700246,0.5404489227257391
Lasso,2014-08,1.450783706588164,2.0474974743299184,0.5454225473241395
Lasso,2015-03,1.0817010366310968,1.410695679800766,0.7586904966245225
Lasso,2015-08,1.089829023091345,1.517819412267105,0.7384333905976883
Lasso,2016-03,1.0677287529835693,1.4358869719692227,0.7454190698145327
Lasso,2016-08,1.2422379517155206,1.6830791558058729,0.6665031227951972
Lasso,2017-03,0.7480036475182232,1.0127625914117087,0.858768486063781
Lasso,2017-08,1.2767647749921602,1.723855149411081,0.6922090627072808
Lasso,2018-08,1.349058103240007,1.7219297215504723,0.6602514462496522
Lasso,2019-08,1.4237165358786832,1.8349964820151268,0.769289498549833
Lasso,2021-10,2.9884461617227736,4.302228448522169,0.27336794438810086
Lasso,2022-04,1.632928369910014,2.0864668933944337,0.7663350151975432
Lasso,2023-08,1.911417739794487,2.4787249829415385,0.610448790643076
Lasso,2024-10,2.421204793138786,3.0726114356393768,0.3505364970589583
RandomForest,2011-08,1.885329134494855,2.362900750928239,0.16324391823592233
RandomForest,2012-08,1.1085922503172052,1.3159351371166883,0.6642243674450096
RandomForest,2013-08,0.8307631673974675,1.2735388833657226,0.7407533342481623
RandomForest,2014-03,1.1910448625713532,1.578583818553409,0.6448080229887987
RandomForest,2014-08,1.1573657029743325,1.7500360977413765,0.6679104917899711
RandomForest,2015-03,1.0748348624952397,1.3780378659831194,0.7697338732283496
RandomForest,2015-08,1.0331924901502507,1.4003597207349279,0.7773507083652278
RandomForest,2016-03,1.0364608170060416,1.4009808762013038,0.7576462338859571
RandomForest,2016-08,1.287364752045048,1.7822896375078812,0.6260278572139427
RandomForest,2017-03,0.8478756725912822,1.054068741556353,0.8470131224276456
RandomForest,2017-08,1.2301894457573912,1.651570152596903,0.7174805588942949
RandomForest,2018-08,1.2558772586783609,1.760699274138765,0.6447802187324706
RandomForest,2019-08,1.3660017039406596,1.8323381382259092,0.7699574710366772
RandomForest,2021-10,2.8635206830615005,4.133750154259951,0.3291644555115133
RandomForest,2022-04,1.5142201401595619,1.9624195744450457,0.7932933847656303
RandomForest,2023-08,2.0728990900308504,2.5867068182194943,0.5757691134733439
RandomForest,2024-10,2.1453416945156687,2.7318621116805093,0.4865986393618369
GradientBoosting,2011-08,1.2039119291297562,1.645857411949074,0.594031504487704
GradientBoosting,2012-08,0.7668202128865995,0.9679073762549276,0.8183448108240874
GradientBoosting,2013-08,0.6661200221992678,1.0290337978317465,0.830742454317321
GradientBoosting,2014-03,0.952307969462419,1.2726069591274705,0.769157142465771
GradientBoosting,2014-08,0.9917075994237258,1.5114122607943166,0.7522994202120331
GradientBoosting,2015-03,0.8102813188244016,1.0358025465514888,0.8699046715209456
GradientBoosting,2015-08,0.7499332629000174,1.0122708851891657,0.8836582509218681
GradientBoosting,2016-03,0.7246383330239495,0.9830219807145053,0.8806803923568731
GradientBoosting,2016-08,1.1541969061124107,1.6029148882592688,0.6975151595074307
GradientBoosting,2017-03,0.610564593328048,0.793304578526118,0.9133444798477057
GradientBoosting,2017-08,1.1562206401829347,1.430691954901486,0.7879947785714089
GradientBoosting,2018-08,1.2547349982917193,1.7789218333203294,0.6373893937572876
GradientBoosting,2019-08,1.3490214981895976,1.6384520334676413,0.8160650093445866
GradientBoosting,2021-10,2.465571667438759,3.6850395942197487,0.4668960080109541
GradientBoosting,2022-04,1.3328350871707415,1.75587761777874,0.8345148122247164
GradientBoosting,2023-08,1.732414776993913,2.2162147138013584,0.68859072982951
GradientBoosting,2024-10,1.9075277135180226,2.424651171984275,0.5955749957103189
XGBoost,2011-08,1.1696243537833928,1.6204017391103263,0.6064922244850528
XGBoost,2012-08,0.7609118545450656,0.9698117988483568,0.8176292700747372
XGBoost,2013-08,0.653964884779028,1.0469191543655085,0.8248076846312884
XGBoost,2014-03,0.9472800459507736,1.2779712428685461,0.7672069465642886
XGBoost,2014-08,0.9331064593165451,1.377713334560649,0.7941841272745461
XGBoost,2015-03,0.7525643893114068,1.0238534287562866,0.8728889426800165
XGBoost,2015-08,0.715469485450086,0.9935959577081083,0.8879113266970401
XGBoost,2016-03,0.7402325609632259,0.9549717763270729,0.8873927295110892
XGBoost,2016-08,1.0975356566501653,1.5171151967766225,0.7290308768428635
XGBoost,2017-03,0.596274640926948,0.7922679806799169,0.9135707945326562
XGBoost,2017-08,1.0422827066610862,1.2751675375005784,0.831581892279448
XGBoost,2018-08,0.9167094604515529,1.1796966983339523,0.8405342205436375
XGBoost,2019-08,1.1753938702979132,1.5003756581359444,0.8457600377039823
XGBoost,2021-10,2.498747452440234,3.722688917129685,0.45594712424999884
XGBoost,2022-04,1.2777939454098732,1.7265519640995568,0.8399963282242505
XGBoost,2023-08,1.8132247016031053,2.241106358180915,0.6815561951479321
XGBoost,2024-10,1.7835444622601826,2.2652384672732406,0.6470060016804164
